Land,Naam speler,Positie
Jordanië,M. Abualnadi,Verdediger
Jordanië,Yazan Al Arab,Verdediger
Jordanië,Saed Al Rosan,Verdediger
Jordanië,A. Badawi,Verdediger
Jordanië,Abdallah Naseeb,Verdediger
Jordanië,Saleem Obaid,Verdediger
Jordanië,Ehsan Haddad,Verdediger
Jordanië,Mohannad Abu Taha,Verdediger
Jordanië,M. Al Daoud,Middenvelder
Jordanië,Ibrahim Sa'deh,Middenvelder
Jordanië,Nizar Al Rashdan,Middenvelder
Jordanië,Noor Al Rawabdeh,Middenvelder
Jordanië,Rajaei Ayed,Middenvelder
Jordanië,Amer Jamous,Middenvelder
Jordanië,Mahmoud Al Mardi,Middenvelder
Jordanië,Mohammed Abu Zurayq,Aanvaller
Jordanië,O. Al Fakhouri,Aanvaller
Jordanië,A. Azaizeh,Aanvaller
Jordanië,Ali Olwan,Aanvaller
Jordanië,Ibrahim Sabra,Aanvaller
Jordanië,Mousa Tamari,Aanvaller
Portugal,Diogo Costa,Keeper
Portugal,José Sá,Keeper
Portugal,Rui Silva,Keeper
Portugal,Tomás Araújo,Verdediger
Portugal,João Cancelo,Verdediger
Portugal,Diogo Dalot,Verdediger
Portugal,Rúben Dias,Verdediger
Portugal,Gonçalo Inácio,Verdediger
Portugal,Nuno Mendes,Verdediger
Portugal,Nélson Semedo,Verdediger
Portugal,Renato Veiga,Verdediger
Portugal,Samú Costa,Verdediger
Portugal,Bruno Fernandes,Middenvelder
Portugal,João Neves,Middenvelder
Portugal,Rúben Neves,Middenvelder
Portugal,Matheus Nunes,Middenvelder
Portugal,Bernardo Silva,Middenvelder
Portugal,Vitinha,Middenvelder
Portugal,Francisco Conceição,Aanvaller
Portugal,Gonçalo Guedes,Aanvaller
Portugal,João Félix,Aanvaller
Portugal,Rafael Leão,Aanvaller
Portugal,Pedro Neto,Aanvaller
Portugal,Gonçalo Ramos,Aanvaller
Portugal,Cristiano Ronaldo,Aanvaller
Portugal,Trincão,Aanvaller
Congo-Kinshasa,M. Epolo,Keeper
Congo-Kinshasa,T. Fayulu,Keeper
Congo-Kinshasa,L. Mpasi,Keeper
Congo-Kinshasa,D. Batubinsika,Verdediger
Congo-Kinshasa,G. Kalulu,Verdediger
Congo-Kinshasa,S. Kapuadi,Verdediger
Congo-Kinshasa,J. Kayembe,Verdediger
Congo-Kinshasa,A. Masuaku,Verdediger
Congo-Kinshasa,C. Mbemba,Verdediger
Congo-Kinshasa,A. Tuanzebe,Verdediger
Congo-Kinshasa,A. Wan-Bissaka,Verdediger
Congo-Kinshasa,E. Kayembe,Middenvelder
Congo-Kinshasa,S. Moutoussamy,Middenvelder
Congo-Kinshasa,N. Mukau,Middenvelder
Congo-Kinshasa,C. Pickel,Middenvelder
Congo-Kinshasa,N. Sadiki,Middenvelder
Congo-Kinshasa,A. Tshibola,Middenvelder
Congo-Kinshasa,N. Mbuku,Middenvelder
Congo-Kinshasa,T. Bongonda,Middenvelder
Congo-Kinshasa,C. Bakambu,Aanvaller
Congo-Kinshasa,S. Banza,Aanvaller
Congo-Kinshasa,B. Cipenga,Aanvaller
Congo-Kinshasa,M. Elia,Aanvaller
Congo-Kinshasa,G. Kakuta,Aanvaller
Congo-Kinshasa,F. Mayele,Aanvaller
Congo-Kinshasa,Y. Wissa,Aanvaller
Oezbekistan,B. Ergashev,Keeper
Oezbekistan,A. Nematov,Keeper
Oezbekistan,U. Yusupov,Keeper
Oezbekistan,K. Alijonov,Verdediger
Oezbekistan,R. Ashurmatov,Verdediger
Oezbekistan,U. Eshmurodov,Verdediger
Oezbekistan,B. Karimov,Verdediger
Oezbekistan,A. Khusanov,Verdediger
Oezbekistan,S. Nasrullayev,Middenvelder
Oezbekistan,F. Sayfiev,Verdediger
Oezbekistan,J. Urozov,Verdediger
Oezbekistan,A. Abdullaev,Verdediger
Oezbekistan,A. Ulmasaliev,Verdediger
Oezbekistan,J. Masharipov,Middenvelder
Oezbekistan,A. Ganiyev,Aanvaller
Oezbekistan,J. Iskanderov,Middenvelder
Oezbekistan,O. Hamrobekov,Middenvelder
Oezbekistan,A. Mozgovoy,Middenvelder
Oezbekistan,O. Shukurov,Middenvelder
Oezbekistan,A. Fayzullaev,Middenvelder
Oezbekistan,S. Esanov,Middenvelder
Oezbekistan,O. Orunov,Aanvaller
Oezbekistan,D. Khamdamov,Middenvelder
Oezbekistan,A. Amonov,Aanvaller
Oezbekistan,I. Sergeev,Aanvaller
Oezbekistan,E. Shomurodov,Aanvaller
Colombia,Á. Montero,Keeper
Colombia,D. Ospina,Keeper
Colombia,C. Vargas,Keeper
Colombia,S. Arias,Verdediger
Colombia,W. Ditta,Verdediger
Colombia,J. Lucumí,Verdediger
Colombia,D. Machado,Verdediger
Colombia,Y. Mina,Verdediger
Colombia,J. Mojica,Verdediger
Colombia,D. Muñoz,Verdediger
Colombia,G. Puerta,Middenvelder
Colombia,D. Sánchez,Verdediger
Colombia,K. Castaño,Middenvelder
Colombia,J. Lerma,Middenvelder
Colombia,J. Portilla,Middenvelder
Colombia,J. Arias,Middenvelder
Colombia,J. Carrascal,Middenvelder
Colombia,J. Quintero,Middenvelder
Colombia,R. Rios,Middenvelder
Colombia,J. Rodríguez,Middenvelder
Colombia,J. Campaz,Middenvelder
Colombia,J. Córdoba,Aanvaller
Colombia,C. Hernández,Aanvaller
Colombia,L. Díaz,Middenvelder
Colombia,A. Gómez,Middenvelder
Colombia,L. Suárez,Aanvaller
Engeland,D. Henderson,Keeper
Engeland,J. Pickford,Keeper
Engeland,J. Trafford,Keeper
Engeland,D. Burn,Verdediger
Engeland,M. Guéhi,Verdediger
Engeland,R. James,Verdediger
Engeland,E. Konsa,Verdediger
Engeland,T. Livramento,Verdediger
Engeland,N. Oreilly,Verdediger
Engeland,J. Quansah,Verdediger
Engeland,D. Spence,Verdediger
Engeland,J. Stones,Verdediger
Engeland,E. Anderson,Middenvelder
Engeland,J. Bellingham,Middenvelder
Engeland,E. Eze,Middenvelder
Engeland,J. Henderson,Middenvelder
Engeland,K. Mainoo,Middenvelder
Engeland,D. Rice,Middenvelder
Engeland,M. Rogers,Middenvelder
Engeland,A. Gordon,Aanvaller
Engeland,H. Kane,Aanvaller
Engeland,N. Madueke,Aanvaller
Engeland,M. Rashford,Aanvaller
Engeland,B. Saka,Aanvaller
Engeland,I. Toney,Aanvaller
Engeland,O. Watkins,Aanvaller
Kroatië,D. Kotarski,Keeper
Kroatië,D. Livakovic,Keeper
Kroatië,I. Pandur,Keeper
Kroatië,D. Caleta-Car,Verdediger
Kroatië,M. Erlic,Verdediger
Kroatië,J. Gvardiol,Verdediger
Kroatië,M. Pongracic,Verdediger
Kroatië,J. Stanisic,Middenvelder
Kroatië,J. Sutalo,Verdediger
Kroatië,L. Vuskovic,Verdediger
Kroatië,M. Baturina,Aanvaller
Kroatië,T. Fruk,Middenvelder
Kroatië,K. Jakic,Middenvelder
Kroatië,M. Kovacic,Middenvelder
Kroatië,L. Modric,Middenvelder
Kroatië,N. Moro,Middenvelder
Kroatië,M. Pasalic,Middenvelder
Kroatië,L. Sucic,Middenvelder
Kroatië,P. Sucic,Aanvaller
Kroatië,N. Vlasic,Middenvelder
Kroatië,A. Budimir,Aanvaller
Kroatië,A. Kramaric,Aanvaller
Kroatië,I. Matanovic,Aanvaller
Kroatië,P. Musa,Aanvaller
Kroatië,M. Pasalic,Aanvaller
Kroatië,I. Perisic,Middenvelder
Ghana,B. Asare,Keeper
Ghana,J. Anang,Keeper
Ghana,L. Zigi,Keeper
Ghana,J. Adjetey,Verdediger
Ghana,D. Luckassen,Verdediger
Ghana,G. Mensah,Verdediger
Ghana,A. Seidu,Verdediger
Ghana,J. Opoku,Verdediger
Ghana,K. Peprah Oppong,Verdediger
Ghana,A. Mumin,Verdediger
Ghana,M. Senaya,Verdediger
Ghana,A. Baba,Verdediger
Ghana,E. Owusu,Middenvelder
Ghana,T. Partey,Middenvelder
Ghana,K. Sibo,Middenvelder
Ghana,Caleb Marfo Yirenkyi,Middenvelder
Ghana,A. Semenyo,Aanvaller
Ghana,A. Boakye,Middenvelder
Ghana,A. Fatawu,Middenvelder
Ghana,P. Adu,Middenvelder
Ghana,B. Thomas-Asante,Aanvaller
Ghana,J. Ayew,Aanvaller
Ghana,C. Bonsu Baah,Aanvaller
Ghana,I. Williams,Aanvaller
Ghana,E. Nuamah,Aanvaller
Ghana,K. Sulemana,Aanvaller
Panama,L. Mejía,Keeper
Panama,O. Mosquera,Keeper
Panama,C. Samudio,Keeper
Panama,A. Andrade,Verdediger
Panama,C. Blackman,Verdediger
Panama,J. Córdoba,Verdediger
Panama,É. Davis,Verdediger
Panama,F. Escobar,Verdediger
Panama,E. Fariña,Verdediger
Panama,J. Gutiérrez,Verdediger
Panama,C. Harvey,Middenvelder
Panama,R. Miller,Verdediger
Panama,A. Murillo,Verdediger
Panama,J. Ramos,Verdediger
Panama,A. Carrasquilla,Middenvelder
Panama,A. Godoy,Middenvelder
Panama,C. Martinez,Middenvelder
Panama,J. Rodríguez,Middenvelder
Panama,Y. Bárcenas,Middenvelder
Panama,I. Díaz,Middenvelder
Panama,A. Quintero,Aanvaller
Panama,C. Yanis,Aanvaller
Panama,J. Fajardo,Aanvaller
Panama,A. Londoño,Middenvelder
Panama,T. Rodríguez,Aanvaller
Panama,C. Waterman,Aanvaller
